run,width,real_weight,qat_epochs,epochs,int8_test_acc,spk01_words,spk02_words,spk10_words,spk18_words,aggregate_words,false_accepts,false_accepts_n,macs,bytes,sha256,train_seconds_predicted,train_seconds_actual,passes,git_sha
deployed_w48,48,n/a,n/a,n/a,0.5937,0.9231,0.8947,0.8562,0.3333,0.7854,0,32,4234704,25832,8fa81d08,n/a,n/a,PASS,
run2_w48,48,n/a,n/a,n/a,0.6592,0.7692,0.6842,0.8288,0.6667,0.7768,0,32,4234704,25832,d49093a4,n/a,n/a,FAIL,
w32_rw1_qe10,32,1,10,40,0.6248,0.3846,0.7105,0.6301,0.4722,0.6052,1,32,2070496,17912,c3e39397,420.0,1222.7,FAIL,
w32_rw1_qe20,32,1,20,40,0.6225,0.4615,0.6316,0.6507,0.5000,0.6137,2,32,2070496,17912,0160ce9d,570.0,722.7,FAIL,
w32_rw3_qe10,32,3,10,40,0.6329,0.5385,0.9211,0.8151,0.6389,0.7897,0,32,2070496,17912,32d5bfe9,996.0,751.7,PASS,
w32_rw3_qe20,32,3,20,40,0.6353,0.6923,0.9211,0.8219,0.6389,0.8026,1,32,2070496,17912,d8ef2eb2,816.0,1025.3,FAIL,
w48_rw1_qe10,48,1,10,40,0.6592,0.7692,0.6842,0.8288,0.6667,0.7768,0,32,4234704,25832,d49093a4,468.0,559.3,FAIL,
w48_rw1_qe20,48,1,20,40,0.6606,0.6923,0.7632,0.8425,0.6111,0.7854,1,32,4234704,25832,f55a3b64,438.0,674.0,FAIL,
w48_rw3_qe10,48,3,10,40,0.6722,1.0000,0.9737,0.9315,0.8056,0.9227,1,32,4234704,25832,b31bcc83,744.0,1216.7,FAIL,
w48_rw3_qe20,48,3,20,40,0.6685,1.0000,0.9737,0.9315,0.7778,0.9185,0,32,4234704,25832,68773252,798.0,1296.8,PASS,
run4_w48_rw3_qe20,48,3,20,40,0.7158,0.9231,0.9737,0.9384,0.7500,0.9142,2,32,4234704,25800,b8df37db,n/a,1223.0,FAIL,09fffe2
run4_w48_rw3_qe10,48,3,10,40,0.7154,0.9231,0.9737,0.9315,0.7500,0.9099,1,32,4234704,25800,bd3ae11d,n/a,997.0,FAIL,09fffe2
run5_s1_w48_rw3_qe20,48,3,20,40,0.5974,0.9231,1.0000,0.9315,0.7222,0.9099,1,32,4234704,25800,0a2543e8,n/a,1317.0,FAIL,625474a
run5_s2_w48_rw3_qe20,48,3,20,40,0.6817,0.9231,0.9737,0.9384,0.8611,0.9313,0,32,4234704,25800,38bed244,n/a,1226.0,PASS,625474a
run5_e80_flat,48,3,20,80,0.7125,0.9231,0.9474,0.9110,0.7778,0.8970,1,32,4234704,25800,1cf0435e,n/a,2115.0,FAIL,625474a
run5_e80_cos,48,3,20,80,0.7064,0.9231,1.0000,0.9452,0.8056,0.9313,1,32,4234704,25800,f7483c99,n/a,2031.0,FAIL,625474a
shift200_w48_rw3_qe20,48,3,20,40,0.7125,0.9231,0.9474,0.9110,0.7778,0.8970,1,32,4234704,25800,1cf0435e,n/a,n/a,FAIL,459b05f
shift500_w48_rw3_qe20,48,3,20,40,0.5972,0.8462,1.0000,0.8288,0.5833,0.8197,0,32,4234704,25800,58129989,n/a,1250.0,PASS,459b05f
